title,description,category,sub_category,type
Vintage in the Style of Curtis Jere 'Birds In Flight Sculpture Statue Figuerine,"Please Contact us for an EXACT Shipping Quote.
The amount posted may not be accurate due to your
exact location. We are in Valencia, CA 91355    
PLEASE VISIT OUR STORE for over 1,400 vintage items:
Vintage L A Furniture
************************
Unique Vintage Statue Condition. Solid and Firm. 
Wear is usual for its age. Please see the photos. 
Overall a Gorgeous Statue that you will love having in your home!!
Measurements:   10""H x 5"" x 8""

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",,,
Vintage French Country Farmhouse Brown Oak Two Seater Bench Settee,"Please Contact us for an EXACT Shipping Quote
The amount posted may 
. . .  . . . . Valencia, CA
Visit our Etsy Store, over 1200 items:
Vintage L A Furniture
*************
Gorgeous Bench in Great Vintage Condition. Solid and Firm. 
Wear is usual for its age. Please see photos. 
Overall a Gorgeous Bench that you will love having in your home!!
Measurements:  29""H x 20 1/2"" x 46"" Seat Height 16"" 

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",,,
Vintage Italian Hollywood Regency Gold Gilt Iron Rope Tassel Vanity Chair Stool,"Please Contact us for an EXACT Shipping Quote
The amount posted may 
. . .  . . . . Valencia, CA
Visit our Etsy Store, over 1200 items:
Vintage L A Furniture
*************
Gorgeous Vanity Stool Chair in Great Vintage Condition. Solid and Firm. 
Wear is usual for its age. Please see photos.
Overall a Gorgeous Chair that you will love having in your home!!
Measurements:  24""H x 17"" x 18"" Seat Height 18"" 

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",,,
Set Four French Country Hammered Counter Stools Bar stools Industrial Red Sign,"Please Contact us for an EXACT Shipping Quote
The amount posted may 
. . .  . . . . Valencia, CA
Visit our Etsy Store, over 1200 items:
Vintage L A Furniture
*************
Gorgeous Stools in Good Rustic Vintage Condition. Solid and Firm. 
There is some slight rust on them. Otherwise, Wear is usual for their age. 
Please see photos.  
Overall a Very Unique Set of Stools that you will love having in your home!!
Measurements: 35""H x 15 1/2"" x 19"" Seat Height 20""  

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",,,
Vintage Mappin Brothers of London Table Top Decor Palm Trees w a Antelope Statue,"Please Contact us for an EXACT Shipping Quote: The amount posted may
 Valencia, CA 91355    


Vintage Mappin Brothers of London Table Top Decor Palm Trees w a Antelope Statue
 Unique Table Top Decor in Great Vintage Condition. Solid and Firm. 
Wear is usual for its age. Please see photos. 
Overall a Very Unique Decor Statue that you will love having in your home!!
Measurements:   25""H x 13"" x 11"".
There is a second Statue w an Emu Bird, Sold Separately. See our Store

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
 323-346-9927.",,,
Embossed Leather Picture of Eagle Perched on top of Roaring Waves Made in Italy,"Please Contact us for an EXACT Shipping Quote
The amount posted may 
. . .  . . . . Valencia, CA
Visit our Etsy Store, over 1200 items:
Vintage L A Furniture
*************
 We are Located in (Santa Ana, CA  92705)   Los Angeles Area   
       You may ask questions before your purchase
Vintage L A Furniture  --------------  Vintage L A Furniture
  Please visit our eBay Store for over 1400 items

Embossed Leather Picture of Eagle Perched on top of Roaring Waves Made in Italy
Gorgeous Picture in Great Vintage Condition. Solid and Firm. 
Wear is usual for its age. Please see photos. 
Overall a Gorgeous Picture that you will love having in your home!!
Measurements:  9 1/2"" High x 15 3/4""

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",,,
Vintage French Provincial Gold Rectangle Ornate Wall Mantle Mirror wOrnate Motif,"Please Contact us for an EXACT Shipping Quote.
The amount posted may not be accurate due to your
exact location. We are in Valencia, CA 91355    
PLEASE VISIT OUR STORE for over 1,400 vintage items:
Vintage L A Furniture
************************
Gorgeous Mirror in Good Vintage Condition. Solid and Firm. 
Wear is usual for its age. Please see the photos.
Overall a Gorgeous Mirror that you will love having in your home!!
Measurements:   33 1/4""High x 36"" x 1 1/2""

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",,,
French Louis XVI Burl Marquetry Side Table Sun Burst Design w Brass Claw Feet,"Please Contact us for an EXACT Shipping Quote.
The amount posted may not be accurate due to your
exact location. We are in Valencia, CA 91355    
PLEASE VISIT OUR STORE for over 1,400 vintage items:
Vintage L A Furniture
************************
Gorgeous Side Table in Good Vintage Condition. Solid and Firm. 
There is wear that is usual for its age. Please see the photos.  
Overall a Gorgeous Side Table that you will love having in your home!!
Measurements:   28""High x 24.5"" x 24.5""

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",,,
French Country Yellow Floral Ceramic Milk Can / Umbrella Stand,"Please Contact us for an EXACT Shipping Quote.
The amount posted may not be accurate due to your
exact location. We are in Valencia, CA 91355    
PLEASE VISIT OUR STORE for over 1,400 vintage items:
Vintage L A Furniture
************************
 Unique Milk Can/ Umbrella Stand in Great Vintage Condition. 
Solid and Firm. Wear is usual for its age. Please see the photos.
Overall a Gorgeous Milk Can/ Umbrella Stand that you will love having in your home!!
Measurements:   18 1/2""H x 9 1/2"" x 9""

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",,,
6 Ft Tall Theodore Alexander French Louis XVI Style Green & Gold Ornate Wall Mantle Mirror,"Please Contact us for an EXACT Shipping Quote.
The amount posted may not be accurate due to your
exact location. We are in Valencia, CA 91355    
PLEASE VISIT OUR STORE for over 1,400 vintage items:
Vintage L A Furniture
************************
Gorgeous Mirror in Like new Condition. Solid and Firm. 
Wear is usual for its age. Please see the photos. 
Overall a Gorgeous Mirror that you will love having in your home!!
Measurements:   72""Tall x 34"" x 2 1/2""

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",,,
Vintage French Country Tan Needlepoint Floral Tapestry on Oak Turned Legs,"Please Contact us for an EXACT Shipping Quote
The amount posted may 
. . .  . . . . Valencia, CA
Visit our Etsy Store, over 1200 items:
Vintage L A Furniture
*************
 Gorgeous Footstool in Great Vintage Condition. Solid and Firm. 
Wear is usual for its age. Please see photos.
Overall a Gorgeous Footstool that you will love having in your home!!
Measurements: 7""H x 16"" x 9 1/2""   

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",,,
Vintage French Country Blue Needlepoint Long Footstool Bench on Brown Base,"Please Contact us for an EXACT Shipping Quote
The amount posted may 
. . .  . . . . Valencia, CA
Visit our Etsy Store, over 1200 items:
Vintage L A Furniture
*************
Gorgeous Footstool in Good Vintage Condition. Solid and Firm. 
There is wear that is usual for its age. Please see photos.
Overall a Gorgeous Footstool that you will love having in your home!!
Measurements:   15""High x 33"" x 14""

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",,,
Vintage Hollywood Regency White Iron Vanity Bench,"Please Contact us for an EXACT Shipping Quote
The amount posted may 
. . .  . . . . Valencia, CA
Visit our Etsy Store, over 1200 items:
Vintage L A Furniture
*************
Gorgeous Bench in Great Vintage Condition. Solid and Firm. 
Wear is usual for its age. Please see photos. 
Overall a Gorgeous Bench that you will love having in your home!!
Measurements:   19""H x 20 1/4"" x 14""

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",,,
Pair of Vintage Spanish Style Tall Rustic Silver Vases Urns ~ Room Decor,"Please Contact us for an EXACT Shipping Quote
The amount posted may 
. . .  . . . . Valencia, CA
Visit our Etsy Store, over 1200 items:
Vintage L A Furniture
*************
Gorgeous Vases in Good Rustic Vintage Condition. They both have some rust inside the Vases
 and there is a dent on the trim of one vase.  Plus the base of one vase is slightly lopsided. 
They are being sold in As-is condition.  Please see photos. 
Overall a Gorgeous Set of Vases that you will love having in your home!!
Measurements:   41""High x 11""R handles 13""Wide

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",,,
Vintage Golden Brown Coffee Table Cocktail Table w Beveled Glass Top ~ Cravings,"Please Contact us for an EXACT Shipping Quote.
The amount posted IS NOT accurate due to your
exact location. We are in Valencia, CA 91355    
PLEASE VISIT OUR STORE for over 1,400 vintage items:
Vintage L A Furniture
************************
Gorgeous Coffee Table in Great Vintage Condition. Solid and Firm. 
Wear is usual for its age. Please see the photos. 
Overall a Gorgeous Coffee Table that you will love having in your home!!
Measurements:  18"" High x 52"" x 42""

Please note there are matching End Tables, Coffee Table and Console Table.
Each Sold separately.  Please see our Store  

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",,,
1970s Vintage French Provincial Brown Coffee Table Made by Drexel,"Please Contact us for an EXACT Shipping Quote.
The amount posted IS NOT accurate due to your
exact location. We are in Valencia, CA 91355    
PLEASE VISIT OUR STORE for over 1,400 vintage items:
Vintage L A Furniture
************************
Gorgeous Coffee Table in Good Vintage Condition. Solid and Firm. 
Wear is usual for its age. Please see the photos. 
Overall a Gorgeous Coffee Table that you will love having in your home!!
Measurements:  16""High x 51.5"" x 24"" 

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",,,
Vintage Hollywood Regency End Table Side Table w Gold Finials,"Please Contact us for an EXACT Shipping Quote.
The amount posted IS NOT accurate due to your
exact location. We are in Valencia, CA 91355    
PLEASE VISIT OUR STORE for over 1,400 vintage items:
Vintage L A Furniture
************************
Gorgeous Table in Good Vintage Condition. There is no Glass. 
 But easy to replace.  Otherwise, Wear is usual for its age. Please see the photos.
Overall a Gorgeous End Table that you will love having in your home!!
Measurements:   21""H x 29"" x 20"" add 1.5"" to Height for Finials

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",,,
1970s Pair of Vintage French Provincial Brown Coffee Table Made by Drexel,"Please Contact us for an EXACT Shipping Quote.
The amount posted IS NOT accurate due to your
exact location. We are in Valencia, CA 91355    
PLEASE VISIT OUR STORE for over 1,400 vintage items:
Vintage L A Furniture
************************
Gorgeous End Tables in Good Vintage Vintage Condition. Solid and Firm. 
But one end table has a lite scrath into the table top. Otherwise, Wear is usual for their age.
 Please see the photos. 
Overall a Gorgeous Pair of End Tables that you will love having in your home!!
Measurements:   23""H x 26"" x 29.5"" 

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",,,
Vintage Golden Brown Entry Console Table w Beveled Glass Top ~ Cravings,"Please Contact us for an EXACT Shipping Quote.
The amount posted IS NOT accurate due to your
exact location. We are in Valencia, CA 91355    
PLEASE VISIT OUR STORE for over 1,400 vintage items:
Vintage L A Furniture
************************
Gorgeous Table in Great Vintage Condition. Solid and Firm. 
Wear is usual for its age. Please see the photos. 
Overall a a Very Unique Table that you will love having in your home!!
Measurements:  26 1/2"" High x 52"" x 18""
Please note there are matching End Tables, Coffee Table and Console Table.
Each Sold separately.  Please see our Store   

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",,,
Vintage Monterey Style Oak Footstool Bench w Brass Corners,"Please Contact us for an EXACT Shipping Quote.
The amount posted IS NOT accurate due to your
exact location. We are in Valencia, CA 91355    
PLEASE VISIT OUR STORE for over 1,400 vintage items:
Vintage L A Furniture
************************
Gorgeous Footstool in Great Vintage Condition. Solid and Firm. 
Wear is usual for its age. Please see the photos. 
Overall a Gorgeous Footstool that you will love having in your home!!
Measurements:   13"" High 18"" x 23.5""

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",,,
Vintage French Provincial Country King Yellow Queen Headboard w Red Birds in Fabric,"Please Contact us for an EXACT Shipping Quote.
The amount posted IS NOT accurate due to your
exact location. We are in Valencia, CA 91355    
PLEASE VISIT OUR STORE for over 1,400 vintage items:
Vintage L A Furniture
************************
Gorgeous Headboard in Good Vintage Condition. Solid and Firm. 
Wear is usual for its age. Please see the photos. 
Overall a Gorgeous Headboard that you will love having in your home!!
Measurements:  69"" x 79""W x 2"" 

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",,,
"56"" Tall Vintage Solid Metal Iron Jardiniere Decorative Plant Stand w Crackled Glass Vase","Please Contact us for an EXACT Shipping Quote.
The amount posted IS NOT accurate due to your
exact location. We are in Valencia, CA 91355    
PLEASE VISIT OUR STORE for over 1,400 vintage items:
Vintage L A Furniture
************************
Gorgeous Stand in Great Vintage Condition. Solid and Firm. 
Wear is usual for its age. Please see the photos.  
Overall a Gorgeous Stand that you will love having in your home.
Measurements:  56""Tall x 10""Round Base 16""  

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",,,
Tall Antique French Country Dresser Top Swivel Mirror Frame w No Mirror,"Please Contact us for an EXACT Shipping Quote.
The amount posted IS NOT accurate due to your
exact location. We are in Valencia, CA 91355    
PLEASE VISIT OUR STORE for over 1,400 vintage items:
Vintage L A Furniture
************************
Unique Mirror Frame in Good Vintage Condition. 
Please note that there is No Mirror.  
There is Wear that is usual for its age. Please see the photo.
Overall a Gorgeous Mirror that you will love having in your home!!
Measurements:   50""H x 43"" W

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",,,
Vintage French Louis XVI Ornate Rococo Gold Wall Mantle Mirror Made in Italy,"Please Contact us for an EXACT Shipping Quote.
The amount posted IS NOT accurate due to your
exact location. We are in Valencia, CA 91355    
PLEASE VISIT OUR STORE for over 1,400 vintage items:
Vintage L A Furniture
************************
Gorgeous Wall Mantle Mirror in Good Vintage Condition. 
This Mirror is old and has wear that is usual for its age. 
Please Study the photos and ask all questions. 
Overall a Gorgeous Mirror that you will love having in your home!!
Measurements:   55""H x 34"" x 5""

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",,,
Vintage Oil on Canvas Desert Landscape Painting Picture Signed Kenneth Walford,"Please Contact us for an EXACT Shipping Quote.
The amount posted IS NOT accurate due to your
exact location. We are in Valencia, CA 91355    
PLEASE VISIT OUR STORE for over 1,400 vintage items:
Vintage L A Furniture
************************
Gorgeous Painting in Great Vintage Condition. Solid and Firm. 
Wear is usual for its age. Please see the photos. 
Overall a Gorgeous Painting that you will love having in your home!!
Measurements:  24""H  28.5""W 

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",,,
Vintage Southwestern Metal Table Lamp Bronze Metalic,"Please Contact us for an EXACT Shipping Quote.
The amount posted IS NOT accurate due to your
exact location. We are in Valencia, CA 91355    
PLEASE VISIT OUR STORE for over 1,400 vintage items:
Vintage L A Furniture
************************
 Gorgeous Lamp in Great Vintage Condition. Solid and Firm.
 Wear is usual for its age. Please see the photos.  
Overall a Gorgeous Table Lamp that you will love having in your home!!
Measurements:   28""High x  LS 8""H x 15"" x 9""

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",,,
Antique French Provincial Louis XVI Rococo Gold Mauve Accent Bergere Chair As-Is,"Please Contact us for an EXACT Shipping Quote:  
The amount posted may  Valencia, CA 
Please visit our Store for over 1,400 vintage items: Vintage L A Furniture

Antique French Provincial Louis XVI Rococo Gold Mauve Accent Bergere Chair As-Is 
 Gorgeous Chair in Good Vintage Condition. But the armrest were repaired 
at a joint and they may require more attention. Please study photos.
Also, Recently re-upholstered. Otherwise,  Wear is usual for its age. Please see photos. 
Overall a Gorgeous Chair that you will love having in your home!!
Measurements:   40""H x 27"" x 28"" seat height 17""

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
   323-346-927",,,
Vintage Mid Century Modern Drexel King Headboard w Five Carved Panels,"Please Contact us for an EXACT Shipping Quote.
The amount posted may not be accurate due to your
exact location. We are in Valencia, CA 91355    
PLEASE VISIT OUR STORE for over 1,400 vintage items:
Vintage L A Furniture
************************
Gorgeous Headboard in Great Vintage Condition. Solid and Firm. 
Wear is usual for its age. Please see photos.
Overall a Gorgeous Headboard that you will love having in your home!!
Measurements:   43 1/2""H x 82"" x 2""

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",,,
Vintage French Country Gold Ornate Picture Frame,"Please Contact us for an EXACT Shipping Quote
The amount posted may 
. . .  . . . . Valencia, CA
Visit our Etsy Store, over 1200 items:
Vintage L A Furniture
*************
Gorgeous Picture Frame in Great Vintage Condition. 
Solid and Firm. Wear is usual for its age. Please see photos.
Overall a Gorgeous Picture Frame that you will love having in your home!!
Measurements:   59""H x 48"" x 2 3/4""  
Inside measurements:  48"" x 36

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",,,
Antique Wall Mount Storage Cabinet w Two Shelves & Mirrored Back,"Unique Cabinet in Good Vintage Condition. With wear that is usual for its age. 
Please see photos.",,,
Vintage French Country Rush Ladderback Green Red Chair Dragon Motif Floral Paint,"Please Contact us for an EXACT Shipping Quote.
The amount posted may not be accurate due to your
exact location. We are in Valencia, CA 91355    
PLEASE VISIT OUR STORE for over 1,400 vintage items:
Vintage L A Furniture
************************
Gorgeous Chair in Great Vintage Condition. Solid and Firm. 
Wear is usual for its age. Please see photos. 
Overall a Gorgeous Chair that you will love having in your home!!
Measurements:   43""H x 19"" x 16"" SH 17 1/2""

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",,,
Antique Italian Baroque Style Carved Giltwood Mirror 19th Century French Country,"Please Contact us for an EXACT Shipping Quote.
The amount posted may not be accurate due to your
exact location. We are in Valencia, CA 91355    
PLEASE VISIT OUR STORE for over 1,400 vintage items:
Vintage L A Furniture
************************
Gorgeous Mirror in Good Condition. Please See and study pictures closely.  
There is wear that is usual for its age.
Overall a Gorgeous Chair that you will love having in your home!!
Measurements:   54 1/2""H x 32"" x 2""

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
